;sp1;sp2;sp1_inc;sp2_inc;obs_cooccur;prob_cooccur;exp_cooccur;p_lt;p_gt;Negative_association;Positive_association;sp1_name;sp2_name;Experimento
86;1;9;18;42;11;0.154;10.8;0.64865;0.56985;0;0;Ursus.arctos;Vulpes.vulpes;2
87;1;10;18;2;0;0.007;0.5;0.54907;1;0;0;Ursus.arctos;Vulpes.lagopus;2
88;1;11;18;11;1;0.04;2.8;0.15951;0.97208;0;0;Ursus.arctos;Meles.meles;2
89;1;12;18;52;10;0.191;13.4;0.03918;0.99067;1;0;Ursus.arctos;Homo_neand;2
90;1;13;18;2;2;0.007;0.5;1;0.06335;0;0;Ursus.arctos;Homo.sapiens;2
91;2;3;34;7;5;0.049;3.4;0.95512;0.19111;0;0;Ursus.spelaeus;Panthera.spelaea;2
92;2;4;34;7;5;0.049;3.4;0.95512;0.19111;0;0;Ursus.spelaeus;Panthera.leo;2
93;2;5;34;11;5;0.076;5.3;0.54175;0.70873;0;0;Ursus.spelaeus;Panthera.pardus;2
94;2;6;34;10;5;0.069;4.9;0.66955;0.59488;0;0;Ursus.spelaeus;Felis.silvestris;2
95;2;7;34;30;19;0.208;14.6;0.99168;0.02847;0;1;Ursus.spelaeus;Crocuta.crocuta;2
96;2;8;34;41;28;0.284;19.9;0.99999;9.00E-05;0;1;Ursus.spelaeus;Canis.lupus;2
97;2;9;34;42;25;0.291;20.4;0.99398;0.02215;0;1;Ursus.spelaeus;Vulpes.vulpes;2
98;2;10;34;2;0;0.014;1;0.26087;1;0;0;Ursus.spelaeus;Vulpes.lagopus;2
99;2;11;34;11;9;0.076;5.3;0.99769;0.01758;0;1;Ursus.spelaeus;Meles.meles;2
100;2;12;34;52;21;0.361;25.3;0.01925;0.99583;1;0;Ursus.spelaeus;Homo_neand;2
101;2;13;34;2;2;0.014;1;1;0.2323;0;0;Ursus.spelaeus;Homo.sapiens;2
102;3;4;7;7;0;0.01;0.7;0.46153;1;0;0;Panthera.spelaea;Panthera.leo;2
103;3;5;7;11;1;0.016;1.1;0.69803;0.71542;0;0;Panthera.spelaea;Panthera.pardus;2
104;3;6;7;10;0;0.014;1;0.32217;1;0;0;Panthera.spelaea;Felis.silvestris;2
105;3;7;7;30;4;0.043;3;0.88577;0.3401;0;0;Panthera.spelaea;Crocuta.crocuta;2
106;3;8;7;41;6;0.059;4.1;0.98125;0.12753;0;0;Panthera.spelaea;Canis.lupus;2
107;3;9;7;42;4;0.06;4.2;0.58673;0.71915;0;0;Panthera.spelaea;Vulpes.vulpes;2
108;3;10;7;2;1;0.003;0.2;0.9913;0.1913;0;0;Panthera.spelaea;Vulpes.lagopus;2
109;3;11;7;11;1;0.016;1.1;0.69803;0.71542;0;0;Panthera.spelaea;Meles.meles;2
110;3;12;7;52;3;0.074;5.2;0.06672;0.98969;0;0;Panthera.spelaea;Homo_neand;2
111;3;13;7;2;0;0.003;0.2;0.8087;1;0;0;Panthera.spelaea;Homo.sapiens;2
112;4;5;7;11;0;0.016;1.1;0.28458;1;0;0;Panthera.leo;Panthera.pardus;2
113;4;6;7;10;1;0.014;1;0.73979;0.67783;0;0;Panthera.leo;Felis.silvestris;2
