;Ursus.spelaeus;Ursus.arctos;Panthera.spelaea;Panthera.leo;Panthera.pardus;Crocuta.crocuta;Canis.lupus;Meles.meles;Vulpes.vulpes;Vulpes.lagopus;Felis.silvestris;Homo_neand;Homo.sapiens;Age
Canis.lupus5;0.982984983;0.991125559;0.966485389;0.97169515;0.911839398;0.984440913;0;0.922914358;0.990341141;0.93088037;0.8155173;0.958343122;0.987893232;32
Meles.meles5;0.908248753;0.935628493;0.937616808;0.955360653;0.9508007;0.918800188;0.922914358;0;0.916768177;0.955977812;0.917469489;0.960462713;0.935905443;32
Vulpes.vulpes5;0.976408366;0.98938578;0.949951564;0.953885324;0.928745937;0.982743049;0.990341141;0.916768177;0;0.910164394;0.819335215;0.966488945;0.982844251;32
Vulpes.lagopus5;0.911357546;0.936141487;0.94908256;0.970054269;0.910885286;0.923943039;0.93088037;0.955977812;0.910164394;0;0.883572574;0.934693413;0.942308913;32
Felis.silvestris5;0.787175779;0.83985238;0.849774379;0.86952298;0.936234693;0.809310382;0.8155173;0.917469489;0.819335215;0.883572574;0;0.891593361;0.840028569;32
Homo_neand5;0.947229458;0.966307623;0.948516093;0.958500292;0.971071135;0.965901166;0.958343122;0.960462713;0.966488945;0.934693413;0.891593361;0;0.969320131;32
Homo.sapiens5;0.965415506;0.984379626;0.96496455;0.972315994;0.930685325;0.980225516;0.987893232;0.935905443;0.982844251;0.942308913;0.840028569;0.969320131;0;32
Ursus.spelaeus6;0;0.974556934;0.960237832;0.958295949;0.892730818;0.976778162;0.982924635;0.90814432;0.975459815;0.909750337;0.789827699;0.946876205;0.96675135;33
Ursus.arctos6;0.974556934;0;0.964157168;0.9691388;0.931196351;0.984977653;0.990614385;0.93559854;0.989300395;0.934284073;0.842660842;0.966952708;0.985121671;33
Panthera.spelaea6;0.960237832;0.964157168;0;0.976711234;0.903605386;0.95522665;0.965713251;0.938420728;0.948470861;0.947262545;0.852767572;0.94905786;0.963659391;33
Panthera.leo6;0.958295949;0.9691388;0.976711234;0;0.927026288;0.962170048;0.970627964;0.954142385;0.951908184;0.968884619;0.869630786;0.957003454;0.97122493;33
Panthera.pardus6;0.892730818;0.931196351;0.903605386;0.927026288;0;0.921391966;0.910032102;0.948660623;0.926969591;0.910886293;0.937142776;0.970249701;0.93164512;33
Crocuta.crocuta6;0.976778162;0.984977653;0.95522665;0.962170048;0.921391966;0;0.984272263;0.919261605;0.982321026;0.923352588;0.81378554;0.966321019;0.981108558;33
