Species;Ursus.spelaeus;Ursus.arctos;Panthera.spelaea;Panthera.leo;Panthera.pardus;Crocuta.crocuta;Canis.lupus;Meles.meles;Vulpes.vulpes;Vulpes.lagopus;Felis.silvestris;Homo_neand;Homo.sapiens;Age
Homo.sapiens;0.812272207;0.878804733;0.795151209;0.825381309;0.727709184;0.872500337;0.900315212;0.725141277;0.88005106;0.732998465;0.546937847;0.826086514;0;34
Ursus.spelaeus;0;0.81651672;0.791537499;0.783198287;0.648458815;0.848693386;0.860212861;0.671364341;0.839439782;0.683425488;0.468229515;0.757089829;0.817349164;35
Ursus.arctos;0.81651672;0;0.788714087;0.819838612;0.710140402;0.872502099;0.892607644;0.731640115;0.884498669;0.726640231;0.555996369;0.809664021;0.880637542;35
Panthera.spelaea;0.791537499;0.788714087;0;0.837222548;0.654264806;0.781809614;0.811069528;0.723817708;0.759621922;0.768049021;0.572507457;0.746812013;0.791970283;35
Panthera.leo;0.783198287;0.819838612;0.837222548;0;0.692359115;0.795580934;0.828588163;0.757907312;0.768603614;0.814134213;0.573741746;0.764772111;0.82085884;35
Panthera.pardus;0.648458815;0.710140402;0.654264806;0.692359115;0;0.70265361;0.674724079;0.739877246;0.71991654;0.665602627;0.707858547;0.8188261;0.727648367;35
Crocuta.crocuta;0.848693386;0.872502099;0.781809614;0.795580934;0.70265361;0;0.88544773;0.700459077;0.874404092;0.707278806;0.520399279;0.814165202;0.875979578;35
Canis.lupus;0.860212861;0.892607644;0.811069528;0.828588163;0.674724079;0.88544773;0;0.706049381;0.902733428;0.71887797;0.509541075;0.79090608;0.900854212;35
Meles.meles;0.671364341;0.731640115;0.723817708;0.757907312;0.739877246;0.700459077;0.706049381;0;0.688855841;0.760051121;0.687238466;0.776746402;0.721762861;35
Vulpes.vulpes;0.839439782;0.884498669;0.759621922;0.768603614;0.71991654;0.874404092;0.902733428;0.688855841;0;0.669626124;0.519048074;0.826773016;0.885292774;35
Vulpes.lagopus;0.683425488;0.726640231;0.768049021;0.814134213;0.665602627;0.707278806;0.71887797;0.760051121;0.669626124;0;0.61592842;0.71770145;0.728796533;35
Felis.silvestris;0.468229515;0.555996369;0.572507457;0.573741746;0.707858547;0.520399279;0.509541075;0.687238466;0.519048074;0.61592842;0;0.627334876;0.556488193;35
Homo_neand;0.757089829;0.809664021;0.746812013;0.764772111;0.8188261;0.814165202;0.79090608;0.776746402;0.826773016;0.71770145;0.627334876;0;0.828811278;35
Homo.sapiens;0.817349164;0.880637542;0.791970283;0.82085884;0.727648367;0.875979578;0.900854212;0.721762861;0.885292774;0.728796533;0.556488193;0.828811278;0;35
Ursus.spelaeus;0;0.814980188;0.792661104;0.783719604;0.651638653;0.848557313;0.860847854;0.672721531;0.839890283;0.682848468;0.473125732;0.759108225;0.818230182;36
Ursus.arctos;0.814980188;0;0.787349238;0.818982633;0.712494023;0.872026528;0.890995636;0.733106497;0.884866672;0.725742287;0.562433281;0.811326947;0.880508152;36
Panthera.spelaea;0.792661104;0.787349238;0;0.838188271;0.656141818;0.782938034;0.812824291;0.72333951;0.76238082;0.768722221;0.57686467;0.750456456;0.792676016;36
Panthera.leo;0.783719604;0.818982633;0.838188271;0;0.691601303;0.797099385;0.829184834;0.756672903;0.770351098;0.811879592;0.576198847;0.765758919;0.820950372;36
Panthera.pardus;0.651638653;0.712494023;0.656141818;0.691601303;0;0.705210613;0.675756809;0.739142471;0.72174557;0.664089063;0.711885564;0.817652758;0.7283848;36
Crocuta.crocuta;0.848557313;0.872026528;0.782938034;0.797099385;0.705210613;0;0.886220319;0.701955508;0.874645526;0.708531459;0.527169021;0.815689524;0.876657926;36
Canis.lupus;0.860847854;0.890995636;0.812824291;0.829184834;0.675756809;0.886220319;0;0.706021407;0.903746566;0.719730512;0.51471118;0.792336114;0.902166747;36
Meles.meles;0.672721531;0.733106497;0.72333951;0.756672903;0.739142471;0.701955508;0.706021407;0;0.690994646;0.75914867;0.688736774;0.775952488;0.720685406;36
Vulpes.vulpes;0.839890283;0.884866672;0.76238082;0.770351098;0.72174557;0.874645526;0.903746566;0.690994646;0;0.671532653;0.526190208;0.828045738;0.88784103;36
Vulpes.lagopus;0.682848468;0.725742287;0.768722221;0.811879592;0.664089063;0.708531459;0.719730512;0.75914867;0.671532653;0;0.615238405;0.719522135;0.728759092;36
Felis.silvestris;0.473125732;0.562433281;0.57686467;0.576198847;0.711885564;0.527169021;0.51471118;0.688736774;0.526190208;0.615238405;0;0.632895328;0.562352472;36
Homo_neand;0.759108225;0.811326947;0.750456456;0.765758919;0.817652758;0.815689524;0.792336114;0.775952488;0.828045738;0.719522135;0.632895328;0;0.829573666;36
Homo.sapiens;0.818230182;0.880508152;0.792676016;0.820950372;0.7283848;0.876657926;0.902166747;0.720685406;0.88784103;0.728759092;0.562352472;0.829573666;0;36
Ursus.spelaeus;0;0.810811923;0.79380305;0.781446498;0.648537721;0.844516908;0.859707124;0.670948085;0.839802835;0.675447473;0.480270009;0.757747929;0.8152272;37
Ursus.arctos;0.810811923;0;0.783985071;0.813331466;0.714311511;0.87112567;0.886369223;0.732756064;0.884370296;0.718143623;0.574125673;0.815315437;0.881386257;37
Panthera.spelaea;0.79380305;0.783985071;0;0.843529685;0.649640372;0.782234602;0.814952544;0.721765274;0.763347213;0.761488627;0.579205428;0.749591424;0.789757515;37
Panthera.leo;0.781446498;0.813331466;0.843529685;0;0.683700803;0.793347994;0.826941177;0.751222191;0.76726663;0.80368241;0.578749965;0.761820587;0.815195537;37
Panthera.pardus;0.648537721;0.714311511;0.649640372;0.683700803;0;0.704997954;0.672832417;0.732153923;0.720570796;0.659562052;0.717100303;0.81419758;0.729587238;37
Crocuta.crocuta;0.844516908;0.87112567;0.782234602;0.793347994;0.704997954;0;0.885279276;0.702723752;0.875129947;0.703014869;0.537662204;0.819144572;0.878101127;37
Canis.lupus;0.859707124;0.886369223;0.814952544;0.826941177;0.672832417;0.885279276;0;0.70569032;0.902549045;0.712957854;0.523104732;0.793780543;0.898810895;37
Meles.meles;0.670948085;0.732756064;0.721765274;0.751222191;0.732153923;0.702723752;0.70569032;0;0.690425497;0.757026676;0.689337496;0.770795199;0.719965104;37
Vulpes.vulpes;0.839802835;0.884370296;0.763347213;0.76726663;0.720570796;0.875129947;0.902549045;0.690425497;0;0.665182448;0.535765263;0.831271288;0.889859241;37
Vulpes.lagopus;0.675447473;0.718143623;0.761488627;0.80368241;0.659562052;0.703014869;0.712957854;0.757026676;0.665182448;0;0.620452207;0.714055797;0.719425748;37
Felis.silvestris;0.480270009;0.574125673;0.579205428;0.578749965;0.717100303;0.537662204;0.523104732;0.689337496;0.535765263;0.620452207;0;0.639474562;0.573293747;37
Homo_neand;0.757747929;0.815315437;0.749591424;0.761820587;0.81419758;0.819144572;0.793780543;0.770795199;0.831271288;0.714055797;0.639474562;0;0.832629822;37
Homo.sapiens;0.8152272;0.881386257;0.789757515;0.815195537;0.729587238;0.878101127;0.898810895;0.719965104;0.889859241;0.719425748;0.573293747;0.832629822;0;37
Ursus.spelaeus;0;0.807762525;0.797039466;0.778689726;0.652699487;0.839342722;0.856691031;0.676052371;0.838743041;0.669649143;0.496609451;0.760267939;0.81022286;38
Ursus.arctos;0.807762525;0;0.780991791;0.806861239;0.720727546;0.871003217;0.88527195;0.736404405;0.884181783;0.70877821;0.59032422;0.819590394;0.885352891;38
Panthera.spelaea;0.797039466;0.780991791;0;0.851173996;0.64503089;0.78248921;0.816184283;0.724190856;0.763521316;0.750454822;0.58725539;0.748973618;0.786702159;38
Panthera.leo;0.778689726;0.806861239;0.851173996;0;0.67653296;0.788131131;0.823365197;0.749352021;0.762606198;0.79341259;0.588334671;0.757250319;0.809805199;38
Panthera.pardus;0.652699487;0.720727546;0.64503089;0.67653296;0;0.709172804;0.677358291;0.726703799;0.725451798;0.654342318;0.722064127;0.813413807;0.734750181;38
Crocuta.crocuta;0.839342722;0.871003217;0.78248921;0.788131131;0.709172804;0;0.883579155;0.708957513;0.875324509;0.696030858;0.553642074;0.823825226;0.877476825;38
Canis.lupus;0.856691031;0.88527195;0.816184283;0.823365197;0.677358291;0.883579155;0;0.711634821;0.903917295;0.706688533;0.539863577;0.800044105;0.898554197;38
Meles.meles;0.676052371;0.736404405;0.724190856;0.749352021;0.726703799;0.708957513;0.711634821;0;0.695160788;0.755282441;0.689645564;0.765924899;0.726312802;38
Vulpes.vulpes;0.838743041;0.884181783;0.763521316;0.762606198;0.725451798;0.875324509;0.903917295;0.695160788;0;0.656632591;0.550315281;0.838433614;0.889668896;38
Vulpes.lagopus;0.669649143;0.70877821;0.750454822;0.79341259;0.654342318;0.696030858;0.706688533;0.755282441;0.656632591;0;0.62847885;0.704626182;0.71189372;38
Felis.silvestris;0.496609451;0.59032422;0.58725539;0.588334671;0.722064127;0.553642074;0.539863577;0.689645564;0.550315281;0.62847885;0;0.64704841;0.589500397;38
Homo_neand;0.760267939;0.819590394;0.748973618;0.757250319;0.813413807;0.823825226;0.800044105;0.765924899;0.838433614;0.704626182;0.64704841;0;0.83632447;38
Homo.sapiens;0.81022286;0.885352891;0.786702159;0.809805199;0.734750181;0.877476825;0.898554197;0.726312802;0.889668896;0.71189372;0.589500397;0.83632447;0;38
Ursus.spelaeus;0;0.810161181;0.792360565;0.779545629;0.655537381;0.843704281;0.855228926;0.678653378;0.840918957;0.677143915;0.488192174;0.763054369;0.813850425;39
Ursus.arctos;0.810161181;0;0.785092961;0.813487266;0.719064878;0.870829257;0.891419604;0.740058683;0.886164386;0.718673131;0.580739125;0.820739538;0.884434105;39
Panthera.spelaea;0.792360565;0.785092961;0;0.843823209;0.648651126;0.78249884;0.81735401;0.729022683;0.765111245;0.762886079;0.589113396;0.74985927;0.786163608;39
